| Priority | File | Lines | Issues | Primary Concern |
|----------|------|-------|--------|-----------------|
| 🔴 P0 | `src/services/agent_executor.ts` | 250-400 | 1 | Blocking git operations |
| 🔴 P0 | `src/services/tool_registry.ts` | 360-390 | 1 | Path traversal security |
| 🔴 P0 | `src/services/db.ts` | 200-308 | 1 | Synchronous blocking delays |
| 🔴 P0 | `src/ai/provider_factory.ts` | 79-424 | 1 | Excessive documentation duplication |
| 🟠 P1 | `src/services/watcher.ts` | 180-230 | 2 | File stability blocking + race conditions |
| 🟠 P1 | `src/flows/flow_runner.ts` | 200-250 | 1 | Missing error boundaries |
| 🟠 P1 | `src/mcp/server.ts` | 300-350 | 1 | Inadequate error handling |
| 🟠 P1 | `src/services/git_service.ts` | 300-365 | 1 | No error recovery |
| 🟡 P2 | `src/services/memory_bank.ts` | 100-200 | 2 | File-based storage limitations + coupling |
| 🟡 P2 | `src/main.ts` | 150-200 | 1 | Missing input validation |
| 🟡 P2 | `src/ai/provider_factory.ts` | Various | 1 | Tight coupling |
| 🟡 P2 | `src/services/tool_registry.ts` | 400-450 | 1 | Incomplete command whitelisting |
